Ticker,Description,Sector,Exchange
GTEIT,G-TECH INFO-TRAINING LTD.,Technology Services,BSE
ARYAVAN,ARYAVAN ENTERPRISE LIMITED,Distribution Services,BSE
URJA,URJA GLOBAL LTD.,Electronic Technology,BSE
PGEL,PG ELECTROPLAST LTD.,Electronic Technology,BSE
GMMPFAUDLR,GMM PFAUDLER LTD.,Producer Manufacturing,BSE
TIMEX,TIMEX GROUP INDIA LTD.,Consumer Durables,BSE
FORTISMLR,FORTIS MALAR HOSPITALS LIMITED,Health Services,BSE
SDBL,SOM DISTILLERIES & BREWERIES L,Consumer Non-Durables,BSE
DHYAANI,DHYAANI TILE AND MARBLEZ LIMIT,Distribution Services,BSE
MERCANTILE,MERCANTILE VENTURES LIMITED,Finance,BSE
MCLTD,MUNOTH COMMUNICATION LIMITED,Distribution Services,BSE
POLSON,POLSON LTD.,Process Industries,BSE
QUINT,QUINT DIGITAL LIMITED,Producer Manufacturing,BSE
ENVAIREL,ENVAIR ELECTRODYNE LTD.,Producer Manufacturing,BSE
DEEPAKNI,DEEPAKNI,Process Industries,BSE
SHREYAS,SHREYAS SHIPPING & LOGISTICS L,Transportation,BSE
NDASEC,NDA SECURITIES LTD.,Finance,BSE
NETWORK18,NETWORK18 MEDIA & INVESTMENTS,Consumer Services,BSE
SILVRETF,MIRAE ASSET MUTUAL FUND,,BSE
VGIL,VEER GLOBAL INFRACONSTRUCTION,Finance,BSE
SPMLINFRA,SPML INFRA LIMITED,Industrial Services,BSE
VIRAT,VIRAT INDUSTRIES LTD.,Consumer Non-Durables,BSE
INDIANHUME,INDIAN HUME PIPE CO.LTD.,Producer Manufacturing,BSE
AADIIND,AADI INDUSTRIES LTD.,Process Industries,BSE
FEDERALBNK,FEDERAL BANK LTD.,Finance,BSE
DCAL,DISHMAN CARBOGEN AMCIS LIMITED,Health Technology,BSE
KITEX,KITEX GARMENTS LTD.,Process Industries,BSE
SNL,SNL BEARINGS LTD.,Producer Manufacturing,BSE
HARDWYN,HARDWYN INDIA LIMITED,Distribution Services,BSE
PRSNTIN,PRASHANT INDIA LTD.,Process Industries,BSE
SHIVAGR,SHIVAGRICO IMPLEMENTS LTD.,Producer Manufacturing,BSE
ATALREAL,ATAL REALTECH LIMITED,Consumer Durables,BSE
HITKITGLO,HIT KIT GLOBAL SOLUTIONS LTD.,Retail Trade,BSE
3IINFOLTD,3I INFOTECH LTD.,Technology Services,BSE
DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS LIM,Producer Manufacturing,BSE
CHCL,CIAN HEALTHCARE LIMITED,Health Technology,BSE
AVIVA,AVIVA INDUSTRIES LTD.,Process Industries,BSE
EKI,EKI ENERGY SERVICES LIMITED,Utilities,BSE
THAMBBI,THAMBBI MODERN SPINNING MILLS,Process Industries,BSE
SATIN,SATIN CREDITCARE NETWORK LIMIT,Finance,BSE
ZODIACVEN,ZODIAC VENTURES LIMITED,Finance,BSE
PTL,PTL ENTERPRISES LTD.,Finance,BSE
SFMP66DD,SBI MUTUAL FUND,,BSE
INLCM,INDIAN LINK CHAIN MANUFACTURES,Distribution Services,BSE
CANTABIL,CANTABIL RETAIL INDIA LTD.,Consumer Non-Durables,BSE
WSFX,WSFX GLOBAL PAY LIMITED,Finance,BSE
BEEKAY,BEEKAY STEEL INDUSTRIES LTD.,Non-Energy Minerals,BSE
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTI,Health Technology,BSE
EUREKAI,EUREKA INDUSTRIES LTD.,Process Industries,BSE
LAHOTIOV,LAHOTI OVERSEAS LTD.,Process Industries,BSE
SMRUTHIORG,SMRUTHI ORGANICS LIMITED,Health Technology,BSE
EXPLICITFIN,EXPLICIT FINANCE LTD.,Finance,BSE
HDFCMOMENT,HDFC MUTUAL FUND,Miscellaneous,BSE
RPPINFRA,RPP INFRA PROJECTS LTD.,Industrial Services,BSE
BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LTD,Commercial Services,BSE
VAMA,VAMA INDUSTRIES LTD.,Technology Services,BSE
BESTAGRO,BEST AGROLIFE LIMITED,Process Industries,BSE
SYRMA,SYRMA SGS TECHNOLOGY LIMITED,Electronic Technology,BSE
GEETANJ,GEETANJALI CREDIT AND CAPITAL,Government,BSE
GMRINFRA,GMR AIRPORTS INFRASTRUCTURE LI,Transportation,BSE
OIVL,ONESOURCE IDEAS VENTURE LIMITE,Finance,BSE
LPDC,LANDMARK PROPERTY DEVELOPMENT,Finance,BSE
INDOWIND,INDOWIND ENERGY LTD.,Utilities,BSE
RTSPOWR,RTS POWER CORPORATION LTD.,Producer Manufacturing,BSE
GUJGASLTD,GUJARAT GAS LIMITED,Utilities,BSE
TUTIALKA,TUTICORIN ALKALI CHEMICALS AND,Process Industries,BSE
NAVKARCORP,NAVKAR CORPORATION LIMITED,Transportation,BSE
PRIVISCL,PRIVI SPECIALITY CHEMICALS LIM,Process Industries,BSE
RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,Transportation,BSE
UCAL,UCAL LIMITED,Producer Manufacturing,BSE
HEALTHYLIFE,HEALTHY LIFE AGRITEC LIMITED,Consumer Non-Durables,BSE
STURDY,STURDY INDUSTRIES LTD.,Non-Energy Minerals,BSE
EMMBI,EMMBI INDUSTRIES LTD,Process Industries,BSE
NORBTEAEXP,NORBEN TEA & EXPORTS LTD.,Consumer Non-Durables,BSE
TANAA,TANEJA AEROSPACE & AVIATION LT,Electronic Technology,BSE
ASHIANA,ASHIANA HOUSING LTD.,Finance,BSE
TRESCON,TRESCON LIMITED,Commercial Services,BSE
ANUP,THE ANUP ENGINEERING LTD,Producer Manufacturing,BSE
SISL,SHANTIDOOT INFRA SERVICES LIMI,Consumer Durables,BSE
SIKA,SIKA INTERPLANT SYSTEMS LTD.,Electronic Technology,BSE
MARICO,MARICO LTD.,Consumer Non-Durables,BSE
KIRLOSENG,KIRLOSKAR OIL ENGINES LTD.,Producer Manufacturing,BSE
OSWAYRN,OSWAL YARNS LTD.,Process Industries,BSE
TUNITEX,TUNI TEXTILE MILLS LTD.,Process Industries,BSE
TVTODAY,TV TODAY NETWORK LTD.,Consumer Services,BSE
LESHAIND,LESHA INDUSTRIES LTD.,Non-Energy Minerals,BSE
WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD.,Electronic Technology,BSE
WHBRADY,W.H.BRADY & CO.LTD.,Producer Manufacturing,BSE
ACL,ANDHRA CEMENTS LTD.,Non-Energy Minerals,BSE
ROUTE,ROUTE MOBILE LIMITED,Communications,BSE
INDIANCARD,INDIAN CARD CLOTHING CO.LTD.,Producer Manufacturing,BSE
KREONFIN,KREON FINNANCIAL SERVICES LTD.,Finance,BSE
SHRAAITECH,SHRADHA AI TECHNOLOGIES LIMITE,Distribution Services,BSE
SENSEXBEES,NIPPON INDIA ETF SENSEX,Miscellaneous,BSE
OASISEC,OASIS SECURITIES LTD.,Finance,BSE
DUNCANENG,DUNCAN ENGINEERING LIMITED,Producer Manufacturing,BSE
ARAVALIS,ARAVALI SECURITIES & FINANCE L,Finance,BSE
RELAXO,RELAXO FOOTWEARS LTD.,Consumer Non-Durables,BSE
NAGTECH,NAGARJUNA AGRI TECH LTD.,Process Industries,BSE
INDUSFINL,INDUS FINANCE LIMITED,Finance,BSE
DATAPATTNS,DATA PATTERNS (INDIA) LIMITED,Electronic Technology,BSE
AASHKA,AASHKA HOSPITALS LIMITED,Health Services,BSE
KALYANKJIL,KALYAN JEWELLERS INDIA LIMITED,Retail Trade,BSE
SAGAR,SAGAR DIAMONDS LIMITED,Consumer Durables,BSE
PANKAJPIYUS,PANKAJ PIYUSH TRADE & INV. LTD,Distribution Services,BSE
EVEXIA,EVEXIA LIFECARE LIMITED,Energy Minerals,BSE
SUPER,SUPER SALES INDIA LTD.,Process Industries,BSE
TAAZAINT,TAAZA INTERNATIONAL LTD,Process Industries,BSE
EDVENSWA,EDVENSWA ENTERPRISES LIMITED,Producer Manufacturing,BSE
LEADFIN,LEAD FINANCIAL SERVICES LTD.,Finance,BSE
SHEETAL,SHEETAL DIAMONDS LTD.,Retail Trade,BSE
GAYATRIBI,GAYATRI BIOORGANICS LTD.,Consumer Non-Durables,BSE
MAHKTECH,MIRAE ASSET MUTUAL FUND,Miscellaneous,BSE
INNOVATUS,INNOVATUS ENTERTAINMENT NETWOR,Commercial Services,BSE
WEL,WONDER ELECTRICALS LIMITED,Electronic Technology,BSE
NURECA,NURECA LIMITED,Health Technology,BSE
TRIMURTHI,TRIMURTHI LIMITED,Health Technology,BSE
BPTEX,BLUE PEARL TEXSPIN LIMITED,Process Industries,BSE
INDUSINDBK,INDUSIND BANK LTD.,Finance,BSE
JCTLTD,JCT LTD.,Process Industries,BSE
ATL,ALLCARGO TERMINALS LIMITED,Transportation,BSE
ADISHAKTI,ADISHAKTI LOHA AND ISPAT LIMIT,Distribution Services,BSE
SARVOTTAM,SURVOTTAM FINVEST LTD.,Finance,BSE
RASRESOR,RAS RESORTS & APART HOTELS LTD,Consumer Services,BSE
ARSHIYA,ARSHIYA LIMITED,Commercial Services,BSE
SWAGTAM,SWAGATAM TRADING & SERVICES LI,Finance,BSE
PHOTON,PHOTON CAPITAL ADVISORS LTD.,Finance,BSE
EXHICON,EXHICON EVENTS MEDIA SOLUTIONS,Commercial Services,BSE
MONGIPA,MOONGIPA CAPITAL FINANCE LTD.,Finance,BSE
GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Transportation,BSE
GROWINGTON,GROWINGTON VENTURES INDIA LIMI,Consumer Services,BSE
CHMBBRW,CHAMBAL BREWERIES & DISTILLERI,Consumer Non-Durables,BSE
PANCARBON,PANASONIC CARBON INDIA CO.LTD.,Producer Manufacturing,BSE
ADFFOODS,ADF FOODS LTD.,Consumer Non-Durables,BSE
PEETISEC,PEETI SECURITIES LTD.,Process Industries,BSE
GKB,GKB OPHTHALMICS LTD.,Health Technology,BSE
JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,Producer Manufacturing,BSE
VENUSPIPES,VENUS PIPES & TUBES LIMITED,Non-Energy Minerals,BSE
NUCLEUS,NUCLEUS SOFTWARE EXPORTS LTD.,Technology Services,BSE
DCMSRIND,DCM SHRIRAM INDUSTRIES LTD.,Process Industries,BSE
SHARDACROP,SHARDA CROPCHEM LIMITED,Distribution Services,BSE
NDTV,NEW DELHI TELEVISION LTD.,Consumer Services,BSE
RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,Technology Services,BSE
UGROCAP,UGRO CAPITAL LIMITED,Finance,BSE
KENVI,KENVI JEWELS LIMITED,Consumer Durables,BSE
POBS,PLATINUMONE BUSINESS SERVICES,Commercial Services,BSE
FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) L,Producer Manufacturing,BSE
SHAHALLOYS,SHAH ALLOYS LTD.,Non-Energy Minerals,BSE
ESSENTIA,INTEGRA ESSENTIA LIMITED,Consumer Non-Durables,BSE
COLABCLOUD,COLAB CLOUD PLATFORMS LIMITED,Distribution Services,BSE
GUJCMDS,GUJCHEM DISTILLERS INDIA LTD.,Process Industries,BSE
11DPR,NIPPON INDIA MUTUAL FUND,,BSE
MAGADSUGAR,MAGADH SUGAR & ENERGY LIMITED,Process Industries,BSE
PRISMMEDI,PRISM MEDICO AND PHARMACY LTD.,Finance,BSE
SURATRAML,SURAT TRADE AND MERCANTILE LIM,Process Industries,BSE
GGDPROP,G. G. DANDEKAR PROPERTIES LIMI,Producer Manufacturing,BSE
REXNORD,REXNORD ELECTRONICS & CONTROLS,Producer Manufacturing,BSE
ADANIENT,ADANI ENTERPRISES LTD.,Distribution Services,BSE
HDFCBANK,HDFC BANK LTD.,Finance,BSE
QUAL30IETF,ICICI PRUDENTIAL MUTUAL FUND,,BSE
DLINKINDIA,D-LINK (INDIA) LTD,Electronic Technology,BSE
ARIHANT,ARIHANT FOUNDATIONS & HOUSING,Finance,BSE
WAAREE,WAAREE TECHNOLOGIES LIMITED,Process Industries,BSE
GLOBALCA,GLOBAL CAPITAL MARKETS LTD.,Finance,BSE
TIIL,TECHNOCRAFT INDUSTRIES (INDIA),Producer Manufacturing,BSE
GALAXYSURF,GALAXY SURFACTANTS LIMITED,Consumer Non-Durables,BSE
NBCC,NBCC (INDIA) LIMITED,Commercial Services,BSE
11GPG,NIPPON INDIA MUTUAL FUND,,BSE
SPICEJET,SPICEJET LTD.,Transportation,BSE
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTR,Process Industries,BSE
ROSSARI,ROSSARI BIOTECH LIMITED,Process Industries,BSE
VBL,VARUN BEVERAGES LIMITED,Consumer Non-Durables,BSE
PRABHHANS,PRABHHANS INDUSTRIES LIMITED,Process Industries,BSE
GTPL,GTPL HATHWAY LIMITED,Communications,BSE
JINDALPOLY,JINDAL POLY FILMS LTD.,Process Industries,BSE
SEJAL,SEJAL,Process Industries,BSE
AVONMORE,AVONMORE CAPITAL & MANAGEMENT,Finance,BSE
GNA,G N A AXLES LIMITED,Producer Manufacturing,BSE
BHANDARI,BHANDARI HOSIERY EXPORTS LTD.,Consumer Non-Durables,BSE
GOLDENTOBC,GOLDEN TOBACCO LTD.,Finance,BSE
BIRLACORPN,BIRLA CORPORATION LTD.,Non-Energy Minerals,BSE
SYBLY,SYBLY INDUSTRIES LTD.,Process Industries,BSE
DEEPINDS,DEEP INDUSTRIES LIMITED,Industrial Services,BSE
BERLDRG,BERYL DRUGS LTD.,Health Technology,BSE
HINDNATGLS,HINDUSTHAN NATIONAL GLASS & IN,Process Industries,BSE
ELFORGE,EL FORGE LTD.,Producer Manufacturing,BSE
THYROCARE,THYROCARE TECHNOLOGIES LIMITED,Health Services,BSE
ASSOCER,ASSOCIATED CERAMICS LTD.,Non-Energy Minerals,BSE
KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.,Producer Manufacturing,BSE
VASUPRADA,SHRI VASUPRADA PLANTATIONS LIM,Consumer Non-Durables,BSE
RAGHUTOB,RAGHUNATH TOBACCO CO.LTD.,Finance,BSE
EASTWEST,EAST WEST HOLDINGS LIMITED,Transportation,BSE
RSTL,RIDDHI STEEL AND TUBE LIMITED,Non-Energy Minerals,BSE
DAICHI,DAI-ICHI KARKARIA LTD.,Process Industries,BSE
AKI,AKI INDIA LIMITED,Process Industries,BSE
DANUBE,DANUBE INDUSTRIES LIMITED,Process Industries,BSE
HRYNSHP,HARIYANA SHIP BREAKERS LTD.,Distribution Services,BSE
RACLGEAR,RACL GEARTECH LIMITED,Producer Manufacturing,BSE
FEL,FUTURE ENTERPRISES LIMITED,Process Industries,BSE
ASHIKA,ASHIKA CREDIT CAPITAL LTD.,Miscellaneous,BSE
SVARTCORP,SWASTI VINAYAKA ART AND HERITA,Finance,BSE
KOTAKBKETF,KOTAK MAHINDRA MUTUAL FUND - P,Miscellaneous,BSE
ADINATH,ADINATH TEXTILES LTD.,Process Industries,BSE
STHINPA,SOUTH INDIA PAPER MILLS LTD.,Process Industries,BSE
KSCL,KAVERI SEED COMPANY LTD.,Process Industries,BSE
TATAYODOGA,TAYO ROLLS LTD.,Non-Energy Minerals,BSE
MISHDESIGN,MISH DESIGNS LIMITED,Retail Trade,BSE
RELCAPITAL,RELIANCE CAPITAL LTD.,Finance,BSE
HILTON,HILTON METAL FORGING LTD.,Producer Manufacturing,BSE
RICHAIND,RICHA INDUSTRIES LTD.,Consumer Non-Durables,BSE
TEGA,TEGA INDUSTRIES LIMITED,Distribution Services,BSE
ALOKTEXT,ALOKTEXT,Process Industries,BSE
UNTTEMI,UNITED LEASING & INDUSTRIES LT,Finance,BSE
LKPSEC,LKP SECURITIES LIMITED,Finance,BSE
MAHALXSE,MAHALAXMI SEAMLESS LTD.,Non-Energy Minerals,BSE
ZODIAC,ZODIAC ENERGY LIMITED,Producer Manufacturing,BSE
SEIL,SHANTI EDUCATIONAL INITIATIVES,Commercial Services,BSE
TIERRA,TIERRA AGROTECH LIMITED,Consumer Non-Durables,BSE
SUGALDAM,SUGAL & DAMANI SHARE BROKERS L,Commercial Services,BSE
NIESSPC,NIPPON INDIA MUTUAL FUND,,BSE
SAFARIND,SAFARIND,Consumer Durables,BSE
POONAWALLA,POONAWALLA FINCORP LIMITED,Finance,BSE
SAKHTISUG,SAKTHI SUGARS LTD.,Process Industries,BSE
TCIIND,TCI INDUSTRIES LTD.,Finance,BSE
CENTENKA,CENTURY ENKA LTD.,Process Industries,BSE
LASTMILE,LAST MILE ENTERPRISES LIMITED,Industrial Services,BSE
MINAXI,MINAXI TEXTILES LTD.,Process Industries,BSE
JISLDVREQS,JAIN IRRIGATION SYSTEMS LTD.,Producer Manufacturing,BSE
RIIL,RELIANCE INDUSTRIAL INFRASTRUC,Industrial Services,BSE
RITES,RITES LIMITED,Commercial Services,BSE
BMBMUMG,BMB MUSIC & MAGNETICS LTD.,Consumer Services,BSE
TIRUFOAM,TIRUPATI FOAM LIMITED,Consumer Durables,BSE
CPSEETF,CPSE ETF,Miscellaneous,BSE
HEG,HEG LTD.,Electronic Technology,BSE
SPENCERS,SPENCER'S RETAIL LIMITED,Retail Trade,BSE
KARURVYSYA,KARUR VYSYA BANK LTD.,Finance,BSE
QRIL,QUALITY RO INDUSTRIES LIMITED,Producer Manufacturing,BSE
SHARP,SHARP INDIA LTD.,Consumer Durables,BSE
TSPIRITUAL,T.SPIRITUAL WORLD LTD.,Distribution Services,BSE
ALPSINDUS,ALPS INDUSTRIES LTD.,Process Industries,BSE
MIDSELIETF,ICICI PRUDENTIAL MIDCAP SELECT,Miscellaneous,BSE
THANGAMAYL,THANGAMAYIL JEWELLERY LTD,Consumer Durables,BSE
SOURCENTRL,SOURCE NATURAL FOODS & HERBAL,Health Technology,BSE
IMPAL,INDIA MOTOR PARTS & ACCESSORIE,Distribution Services,BSE
DENORA,DE NORA INDIA LTD.,Electronic Technology,BSE
CISTRO,CISTRO TELELINK LTD.,Communications,BSE
SAFFRON,SAFFRON INDUSTRIES LIMITED,Finance,BSE
GET_D,GE T&D INDIA LIMITED,Producer Manufacturing,BSE
MADHUDIN,MADHUSUDAN INDUSTRIES LTD.,Finance,BSE
MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Communications,BSE
GRINFRA,G R INFRAPROJECTS LIMITED,Industrial Services,BSE
LERTHAI,LERTHAI FINANCE LIMITED,Finance,BSE
DHARMAJ,DHARMAJ CROP GUARD LIMITED,Process Industries,BSE
BNRSEC,B.N.RATHI SECURITIES LTD.,Finance,BSE
KPEL,K.P. ENERGY LIMITED,Utilities,BSE
SHINEFASH,SHINE FASHIONS (INDIA) LIMITED,Process Industries,BSE
SOVERDIA,SOVEREIGN DIAMONDS LTD.,Consumer Durables,BSE
AEL,AMBA ENTERPRISES LTD.,Producer Manufacturing,BSE
PRISMX,PRISMX GLOBAL VENTURES LIMITED,Commercial Services,BSE
UBL,UNITED BREWERIES LTD.,Consumer Non-Durables,BSE
PNB,PUNJAB NATIONAL BANK,Finance,BSE
CPML,CITY PULSE MULTIPLEX LIMITED,Consumer Services,BSE
SHILPAMED,SHILPA MEDICARE LTD.,Health Technology,BSE
LANDMARC,LANDMARC LEISURE CORPORATION L,Consumer Services,BSE
SIYSIL,SIYARAM SILK MILLS LTD.,Process Industries,BSE
AMBER,AMBER ENTERPRISES INDIA LIMITE,Producer Manufacturing,BSE
RDBRL,RDB RASAYANS LTD.,Process Industries,BSE
LAURUSLABS,LAURUS LABS LIMITED,Health Technology,BSE
WELENT,WELSPUN ENTERPRISES LIMTED,Industrial Services,BSE
RCIIND,RCI INDUSTRIES & TECHNOLOGIES,Non-Energy Minerals,BSE
CAREERP,CAREER POINT LTD.,Consumer Services,BSE
PAVNAIND,PAVNA INDUSTRIES LIMITED,Producer Manufacturing,BSE
GLOSTERLTD,GLOSTER LTD,Process Industries,BSE
GANESHBE,GANESH BENZOPLAST LTD.,Process Industries,BSE
JKTYRE,JK TYRE & INDUSTRIES LTD.,Consumer Durables,BSE
SIPL,SHELTER INFRA PROJECTS LTD.,Industrial Services,BSE
BILLWIN,BILLWIN INDUSTRIES LIMITED,Consumer Non-Durables,BSE
11AGG,NIPPON INDIA MUTUAL FUND,,BSE
BLACKROSE,BLACK ROSE INDUSTRIES LTD.,Distribution Services,BSE
PRIMAPLA,PRIMA PLASTICS LTD.,Consumer Durables,BSE
SWITCHTE,SWITCHING TECHNOLOGIES GUNTHER,Producer Manufacturing,BSE
TIAANC,TIAAN CONSUMER LIMITED,Health Technology,BSE
CIANAGRO,CIAN AGRO IND & INFRA LTD,Process Industries,BSE
SHARIKA,SHARIKA ENTERPRISES LIMITED,Commercial Services,BSE
HINDPETRO,HINDUSTAN PETROLEUM CORPORATIO,Energy Minerals,BSE
NAHARSPING,NAHAR SPINNING MILLS LTD.,Process Industries,BSE
SMARTLINK,SMARTLINK HOLDINGS LIMITED,Electronic Technology,BSE
7SEASL,7SEAS ENTERTAINMENT LIMITED,Technology Services,BSE
SHUKJEW,SHUKRA JEWELLERS LTD.,Finance,BSE
IMAGICAA,IMAGICAAWORLD ENTERTAINMENT LI,Consumer Services,BSE
ASHOKLEY,ASHOK LEYLAND LTD.,Producer Manufacturing,BSE
KPT,KPT INDUSTRIES LIMITED,Consumer Durables,BSE
BALUFORGE,BALU FORGE INDUSTRIES LIMITED,Producer Manufacturing,BSE
GMETCOAL,GUJARAT METALLIC COAL & COKE L,Distribution Services,BSE
KALYANI,KALYANI CAST-TECH LIMITED,Process Industries,BSE
PANCHSHEEL,PANCHSHEEL ORGANICS LTD.,Health Technology,BSE
HITECH,HI-TECH PIPES LIMITED,Non-Energy Minerals,BSE
ADCON,ADCON CAPITAL SERVICES LIMITED,Finance,BSE
NATPEROX,NATIONAL PEROXIDE LTD.,Process Industries,BSE
ANGEL,ANGEL FIBERS LIMITED,Process Industries,BSE
MBECL,MCNALLY BHARAT ENGINEERING COM,Industrial Services,BSE
ZDHJERK,DHANVANTRI JEEVAN REKHA LTD.,Health Services,BSE
CHENNPETRO,CHENNAI PETROLEUM CORPORATION,Energy Minerals,BSE
NATURO,NATURO INDIABULL LIMITED,Distribution Services,BSE
RAYALEMA,ROYALE MANOR HOTELS & INDUSTRI,Consumer Services,BSE
GARMNTMNTR,GARMENT MANTRA LIFESTYLE LIMIT,Consumer Non-Durables,BSE
FLEXITUFF,FLEXITUFF VENTURES INTERNATION,Process Industries,BSE
MCX,MULTI COMMODITY EXCHANGE OF IN,Finance,BSE
SUPERBAK,SUPER BAKERS (INDIA) LTD.,Process Industries,BSE
PEL,PIRAMAL ENTERPRISES LTD.,Finance,BSE
ALPL30IETF,ICICI PRUDENTIAL MUTUAL FUND,Miscellaneous,BSE
BHARAT,BHARAT BHUSHAN SHARE & COMMODI,Finance,BSE
AICHAMP,AI CHAMPDANY INDUSTRIES LTD.,Process Industries,BSE
SWELECTES,SWELECT ENERGY SYSTEMS LIMITED,Producer Manufacturing,BSE
SENCO,SENCO GOLD LIMITED,Consumer Durables,BSE
HARSHILAGR,HARSHIL AGROTECH LIMITED,Producer Manufacturing,BSE
APOLLOPIPE,APOLLO PIPES LIMITED,Finance,BSE
POWERINDIA,HITACHI ENERGY INDIA LIMITED,Electronic Technology,BSE
CELLO,CELLO WORLD LIMITED,Consumer Durables,BSE
SIRCA,SIRCA PAINTS INDIA LIMITED,Process Industries,BSE
JSHL,JLA INFRAVILLE SHOPPERS LIMITE,Retail Trade,BSE
JOYREALTY,JOY REALTY LTD.,Consumer Durables,BSE
DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEM,Process Industries,BSE
KRITI,KRITI INDUSTRIES (INDIA) LTD.,Consumer Non-Durables,BSE
GAYATRI,GAYATRI SUGARS LTD.,Process Industries,BSE
MAXESTATES,MAX ESTATES LIMITED,Finance,BSE
SOUTLAT,SOUTHERN LATEX LTD.,Finance,BSE
RALEGRA,RAVILEELA GRANITES LTD.,Non-Energy Minerals,BSE
SUNTECK,SUNTECK REALTY LTD.,Finance,BSE
GOLDSHARE,UTI MUTUAL FUND - UTI GOLD EXC,Miscellaneous,BSE
MSPL,MSP STEEL & POWER LTD.,Non-Energy Minerals,BSE
SBVCL,SHRI BALAJI VALVE COMPONENTS L,Producer Manufacturing,BSE
ARTSONEN,ARTSON ENGINEERING LTD.,Producer Manufacturing,BSE
RAJRILTD,RAJ RAYON INDUSTRIES LIMITED,Process Industries,BSE
VIRTUALS,VIRTUALSOFT SYSTEMS LTD.,Technology Services,BSE
HDFCGROWTH,HDFC MUTUAL FUND,Miscellaneous,BSE
ESCORP,ESCORP ASSET MANAGEMENT LIMITE,Finance,BSE
KESAR,KESAR INDIA LIMITED,Finance,BSE
MUNCAPM,MUNOTH CAPITAL MARKET LTD.,Finance,BSE
MODINATUR,MODI NATURALS LIMITED,Process Industries,BSE
HITECHWIND,HI-TECH WINDING SYSTEMS LIMITE,Process Industries,BSE
COSCO,COSCO (INDIA) LTD.,Consumer Durables,BSE
KUMPFIN,KUMBHAT FINANCIAL SERVICES LTD,Finance,BSE
JETINFRA,JET INFRAVENTURE LIMITED,Finance,BSE
KARMAENG,KARMA ENERGY LTD.,Utilities,BSE
INTEGSW,INTEGRA SWITCHGEAR LTD.,Producer Manufacturing,BSE
THEINVEST,THE INVESTMENT TRUST OF INDIA,Finance,BSE
NIESSPE,NIPPON INDIA MUTUAL FUND,,BSE
SHREESEC,SHREE SECURITIES LTD.,Finance,BSE
KELLTONTEC,KELLTON TECH SOLUTIONS LTD.,Technology Services,BSE
KIMIABL,KIMIA BIOSCIENCES LIMITED,Health Technology,BSE
DMCC,DMCC SPECIALITY CHEMICALS LIMI,Process Industries,BSE
UNRYLMA,UNIROYAL MARINE EXPORTS LTD.,Distribution Services,BSE
ANJANI,ANJANI SYNTHETICS LTD.,Process Industries,BSE
UGARSUGAR,UGAR SUGAR WORKS LTD.,Process Industries,BSE
STARLIT,STARLIT POWER SYSTEMS LIMITED,Non-Energy Minerals,BSE
RAJPALAYAM,RAJAPALAYAM MILLS LTD.,Process Industries,BSE
BETXIND,BETEX INDIA LTD.,Process Industries,BSE
VSSL,VARDHMAN SPECIAL STEELS LTD.,Non-Energy Minerals,BSE
KRITIIND,KRITIIND,Consumer Non-Durables,BSE
PHRMASI,PHAARMASIA LTD.,Health Technology,BSE
360ONE,360 ONE WAM LIMITED,Finance,BSE
TRACXN,TRACXN TECHNOLOGIES LIMITED,Technology Services,BSE
AJWAFUN,AJWA FUN WORLD & RESORT LTD.,Consumer Services,BSE
METROBRAND,METRO BRANDS LIMITED,Retail Trade,BSE
PIONRINV,PIONEER INVESTCORP LTD.,Finance,BSE
MURUDCERA,MURUDESHWAR CERAMICS LTD.,Producer Manufacturing,BSE
APCL,ANJANI PORTLAND CEMENT LTD.,Non-Energy Minerals,BSE
MORARKFI,MORARKA FINANCE LTD.,Finance,BSE
MAYURUNIQ,MAYUR UNIQUOTERS LTD.,Process Industries,BSE
RRMETAL,RR METALMAKERS INDIA LIMITED,Distribution Services,BSE
ARROWGREEN,ARROW GREENTECH LIMITED,Process Industries,BSE
DUCON,DUCON INFRATECHNOLOGIES LTD,Distribution Services,BSE
STARHEALTH,STAR HEALTH AND ALLIED INSURAN,Finance,BSE
HDFCVALUE,HDFC MUTUAL FUND,Miscellaneous,BSE
LOYALTEX,LOYAL TEXTILE MILLS LTD.,Process Industries,BSE
GUJCRED,GUJARAT CREDIT CORPORATION LTD,Finance,BSE
CFL,CLASSIC FILAMENTS LIMITED,Process Industries,BSE
INDXTRA,IEL LIMITED,Distribution Services,BSE
CHALLANI,CHALLANI CAPITAL LIMITED,Finance,BSE
JOINDRE,JOINDRE CAPITAL SERVICES LTD.,Finance,BSE
GTNINDS,GTN INDUSTRIES LTD.,Process Industries,BSE
IWP,THE INDIAN WOOD PRODUCTS CO. L,Consumer Non-Durables,BSE
